germinal_center,tree,count
btt-PR-2-01-1-LI-1D-GC,4610000,2
btt-PR-2-01-1-RI-1C-GC,15140000,2
btt-PR-2-01-1-RP-1A-GC,39760000,2
btt-PR-2-01-10-LP-10B-GC,10490000,1
btt-PR-2-01-10-LP-10B-GC,29220000,1
btt-PR-2-01-2-RP-2A-GC,40140000,2
btt-PR-2-01-3-LP-3B-GC,39460000,2
btt-PR-2-01-3-RP-3A-GC,28700000,1
btt-PR-2-01-3-RP-3A-GC,38220000,1
btt-PR-2-01-4-LP-4B-GC,38030000,1
btt-PR-2-01-4-LP-4B-GC,22170000,1
btt-PR-2-01-4-RP-4A-GC,38030000,2
btt-PR-2-01-5-LI-5D-GC,39760000,1
btt-PR-2-01-5-LI-5D-GC,22170000,1
btt-PR-2-01-5-LP-5B-GC,47200000,2
btt-PR-2-01-6-LI-6D-GC,39460000,1
btt-PR-2-01-6-LI-6D-GC,6150000,1
btt-PR-2-01-6-LP-6B-GC,10540000,1
btt-PR-2-01-6-LP-6B-GC,38030000,1
btt-PR-2-01-6-RI-6C-GC,34560000,2
btt-PR-2-01-6-RP-6A-GC,10490000,1
btt-PR-2-01-6-RP-6A-GC,48010000,1
btt-PR-2-01-9-LI-9D-GC,39760000,2
btt-PR-2-02-10-LI-10D-GC,38220000,2
btt-PR-2-02-10-RI-10C-GC,550000,1
btt-PR-2-02-10-RI-10C-GC,28700000,1
btt-PR-2-02-10-RP-10A-GC,42860000,1
btt-PR-2-02-10-RP-10A-GC,15110000,1
btt-PR-2-02-11-LI-11D-GC,18850000,1
btt-PR-2-02-11-LI-11D-GC,48010000,1
btt-PR-2-02-11-RI-11C-GC,30360000,1
btt-PR-2-02-11-RI-11C-GC,48010000,1
btt-PR-2-02-11-RP-11A-GC,18670000,1
btt-PR-2-02-11-RP-11A-GC,4500000,1
btt-PR-2-02-12-LI-12D-GC,9840000,2
btt-PR-2-02-12-RI-12C-GC,40140000,2
btt-PR-2-02-12-RP-12A-GC,29340000,1
btt-PR-2-02-12-RP-12A-GC,29700000,1
btt-PR-2-02-7-RI-7C-GC,49080000,1
btt-PR-2-02-7-RI-7C-GC,28700000,1
btt-PR-2-02-7-RP-7A-GC,38220000,2
btt-PR-2-02-8-RI-8C-GC,26730000,2
btt-PR-2-02-9-RI-9C-GC,24010000,1
btt-PR-2-02-9-RI-9C-GC,38260000,1
btt-PR-2-03-1-LI-4A-GC,34560000,1
btt-PR-2-03-1-LI-4A-GC,15140000,1
btt-PR-2-03-1-LP-2A-GC,10490000,2
btt-PR-2-03-2-LP-6A-GC,41430000,1
btt-PR-2-03-2-LP-6A-GC,42860000,1
btt-PR-2-03-2-RI-7B-GC,34560000,1
btt-PR-2-03-2-RI-7B-GC,35690000,1
btt-PR-2-03-2-RP-5B-GC,18850000,1
btt-PR-2-03-2-RP-5B-GC,48010000,1
btt-PR-2-03-3-LP-10A-GC,29220000,1
btt-PR-2-03-3-LP-10A-GC,10490000,1
btt-PR-2-03-5-RI-19A-GC,40140000,1
btt-PR-2-03-5-RI-19A-GC,4500000,1
btt-PR-2-03-6-LP-21B-GC,38030000,1
btt-PR-2-03-6-LP-21B-GC,38220000,1
btt-PR-2-03-7-LP-25A-GC,35500000,1
btt-PR-2-03-7-LP-25A-GC,45100000,1
btt-PR-2-03-7-RI-26B-GC,25700000,1
btt-PR-2-03-7-RI-26B-GC,38030000,1
btt-PR-2-03-8-RI-30A-GC,49080000,1
btt-PR-2-03-8-RI-30A-GC,38220000,1
btt-PR-2-03-8-RP-28A-GC,49080000,2
btt-PR-2-04-1-LP-2B-GC,9840000,1
btt-PR-2-04-1-LP-2B-GC,26730000,1
btt-PR-2-04-1-RP-1A-GC,8580000,2
btt-PR-2-04-2-RP-5A-GC,12730000,2
btt-PR-2-04-5-RP-17A-GC,29700000,1
btt-PR-2-04-5-RP-17A-GC,34560000,1
btt-PR-2-04-6-LP-21A-GC,17530000,2
btt-PR-2-04-6-RI-22A-GC,550000,1
btt-PR-2-04-6-RI-22A-GC,1880000,1
btt-PR-2-04-6-RI-22B-GC,23590000,1
btt-PR-2-04-6-RI-22B-GC,25620000,1
btt-PR-2-04-6-RP-20B-GC,15110000,1
btt-PR-2-04-6-RP-20B-GC,15140000,1
btt-PR-2-04-7-LP-25B-GC,28700000,1
btt-PR-2-04-7-LP-25B-GC,29700000,1
btt-PR-2-04-8-LP-29B-GC,32190000,1
btt-PR-2-04-8-LP-29B-GC,28700000,1
btt-PR-2-04-8-RP-28B-GC,45100000,2
