iteration,chain,θ[1],θ[2],θ[3],θ[4],θ[5],θ[6],φ[1],φ[2],φ[3],φ[4],μ,δ,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
501,1,-1.9758634088918132,2.1031950537959156,-0.06281988104382666,-1.6919313524957131,-6.434266520647741,-1.878663011117422,0.37459960004102555,7.983654710147504,-0.08884072775884418,0.07963372276705706,0.04006976334768808,0.3908890551973482,-22200.944026786274,15.0,1.0,0.9529547974310918,-22200.944026786274,22205.562770506316,0.009944231049303198,-0.34334056367515586,4.0,0.0,0.28789327306564355,0.28789327306564355
502,1,-1.9672623118151826,2.156203311074262,-0.06868152727914587,-1.7842757195394676,-6.740773971703979,-1.856814885080076,0.3770238865993144,8.307448178467475,-0.09713034736266579,0.0712806153181478,0.0343763316150961,0.39518256043342814,-22201.50306204919,15.0,1.0,0.9998347559576725,-22201.50306204919,22203.235649066046,-0.10096281963706133,-0.19933749795745825,4.0,0.0,0.28789327306564355,0.28789327306564355
503,1,-1.998695701627101,2.2927828704999653,-0.06184923836686971,-1.6344962961598615,-6.221385513919563,-1.9523694781610077,0.3682394856621796,9.203530430358526,-0.08746803172087353,0.08531580491764093,0.04457006841785015,0.37674574365137026,-22200.34665392977,15.0,1.0,0.9938573963398007,-22200.34665392977,22203.43182583344,-0.05860746173129883,-0.093346671150357,4.0,0.0,0.28789327306564355,0.28789327306564355
504,1,-1.9658809022185788,2.126237039551934,-0.06757981195018853,-1.6091440068034262,-5.876147760773747,-1.923082603715612,0.37741470733199445,8.122823209663144,-0.09557228660257999,0.08795123127646932,0.05296765258258233,0.382303187027401,-22198.64720808362,15.0,1.0,0.8967134180102129,-22198.64720808362,22201.70987983424,-0.03483431474887766,0.27042843022718444,4.0,0.0,0.28789327306564355,0.28789327306564355
505,1,-1.9671519750070312,2.1658822655920513,-0.06482779677576427,-1.5836397584772444,-5.833580948451811,-1.9096534430680254,0.37705508759946177,8.367973154423535,-0.09168034941905263,0.09068460150741263,0.054107066944223556,0.3848788299884881,-22198.61235170495,15.0,1.0,0.7433997395150703,-22198.61235170495,22202.062895760948,-0.06917263292052667,1.1724124744650908,4.0,0.0,0.28789327306564355,0.28789327306564355
506,1,-1.9518056508027415,2.132653952819166,-0.07329015379356302,-1.6573541379412078,-5.75877450021515,-1.8925929596826763,0.38141996594061006,8.16201001992842,-0.10364792948326677,0.08300744590342028,0.05616916994442166,0.3881759821901839,-22198.56945100949,15.0,1.0,0.9659169188032705,-22198.56945100949,22199.101798449858,-0.026581330446788343,0.165323781879124,3.0,0.0,0.28789327306564355,0.28789327306564355
507,1,-1.9064046387293236,2.31552585797949,-0.06982365058164834,-1.6268121674719092,-5.321649463518681,-1.8524469006870934,0.3946312560622029,9.361863789571178,-0.09874555362696714,0.08610613627137702,0.069890557006912,0.396046579223317,-22201.2979852755,15.0,1.0,0.5304940878076967,-22201.2979852755,22204.521000476085,-0.19069547983963275,2.6461202233695076,4.0,0.0,0.28789327306564355,0.28789327306564355
508,1,-1.941653472417944,2.25450523117927,-0.06766381228093131,-1.5793222179284165,-5.502979723054968,-1.8611773435371968,0.38433523312372614,8.943069934715957,-0.09569108100956025,0.09115566208054979,0.0638326884604724,0.3943215160909238,-22199.030253292378,15.0,1.0,0.26319597476093154,-22199.030253292378,22206.39971045748,0.2475418098802038,4.299860712115333,4.0,0.0,0.28789327306564355,0.28789327306564355
509,1,-1.9205008254648408,2.133516973440601,-0.06818498654694781,-1.5806730445686252,-5.412491369585282,-1.8176489107013294,0.3904811356364372,8.167294717264626,-0.09642813272492062,0.09100801918076311,0.06678707636192678,0.40299768746560516,-22199.988564027914,7.0,1.0,0.9122017475745806,-22199.988564027914,22201.147535278807,-0.14593997978954576,0.3265037968303659,3.0,0.0,0.28789327306564355,0.28789327306564355
510,1,-1.9092591039826443,2.1891359718312904,-0.07182198299895887,-1.6372149900346433,-5.273304087832574,-1.8382373295288708,0.3937873138546972,8.515192992608375,-0.1015716224336575,0.08503792138476444,0.07160058433709074,0.3988704247781357,-22199.999645544645,7.0,1.0,0.9355956205871886,-22199.999645544645,22201.55715203899,0.10871063469312503,0.17804830340173794,3.0,0.0,0.28789327306564355,0.28789327306564355
511,1,-1.971192646592664,2.1217566183574115,-0.06311346419433742,-1.5811052417526021,-5.871924865103119,-1.855255589331839,0.3759141504457701,8.095573766721424,-0.0892559170319807,0.09096083132696424,0.05307960917162442,0.3954907838137976,-22199.567886413242,15.0,1.0,0.630183613479821,-22199.567886413242,22204.331905013303,0.03334045724477619,1.1204632368862804,3.0,0.0,0.28789327306564355,0.28789327306564355
512,1,-1.9576963708168524,2.087109556225701,-0.06863125740463134,-1.5903634805910336,-5.716380998097462,-1.8571762426646343,0.37973855427721687,7.887917569796912,-0.09705925502434856,0.08995585970263205,0.05737248195559293,0.3951111657756238,-22199.087512748716,7.0,1.0,0.8797814167406349,-22199.087512748716,22201.138056410542,-0.03407516280640266,0.2642383932216035,3.0,0.0,0.28789327306564355,0.28789327306564355
513,1,-1.97233646400844,2.1285677920475763,-0.06200053736505237,-1.5335576288699346,-5.589969837576894,-1.8367838956794444,0.37559180586520563,8.137034845321905,-0.08768200081607691,0.0963017146882027,0.061115796025887306,0.39916039601733155,-22200.50208925139,15.0,1.0,0.9335031918552111,-22200.50208925139,22201.57564352447,0.16721533836971503,0.16721533836971503,3.0,0.0,0.28789327306564355,0.28789327306564355
514,1,-1.9765260701698226,2.1914707396739965,-0.0719759920646864,-1.470793310999822,-5.336594627979791,-1.9780503570441677,0.37441347181006734,8.530116804238505,-0.10178942414313778,0.10383502128486971,0.06937024054748442,0.37193908856890495,-22202.700615043843,15.0,1.0,0.7338119631289183,-22202.700615043843,22204.53236051964,0.5417500884504989,1.1305114999995567,4.0,0.0,0.28789327306564355,0.28789327306564355
515,1,-1.933283217674548,2.3279753728236545,-0.07189465157462031,-1.768802095769771,-5.97610694872179,-1.8582190974506256,0.3867555600635687,9.449686152871001,-0.10167439131891624,0.07261654323027987,0.05038541783893858,0.39490519769387655,-22200.626706612293,31.0,1.0,0.976129456804064,-22200.626706612293,22203.372272805565,-0.5776651144951757,-0.8546265260738437,4.0,0.0,0.28789327306564355,0.28789327306564355
516,1,-1.9019215331577126,2.004602095351101,-0.072504033554105,-1.8593554340618652,-6.43621589528115,-1.8222812799995398,0.39596036945549923,7.41460401934582,-0.10253618757896925,0.06513934588432835,0.040030726884832786,0.40206535055729964,-22203.05738024165,15.0,1.0,0.7992423785668316,-22203.05738024165,22205.62257091906,0.0761460764988442,0.42127412298941636,4.0,0.0,0.28789327306564355,0.28789327306564355
517,1,-1.9079002504339695,1.9776417148021808,-0.07676026626485297,-1.8435071626495487,-6.353364605783323,-1.8550421640890302,0.39418884289376904,7.266184212165968,-0.10855540960312503,0.06639001600474614,0.04172385285125863,0.39553298992400193,-22202.01031185451,15.0,1.0,1.0,-22202.01031185451,22203.96278523485,-0.03978625496165478,-0.06730907125165686,4.0,0.0,0.28789327306564355,0.28789327306564355
518,1,-1.9264170886057221,1.9042188347279942,-0.08534798177443759,-1.7912311833261803,-6.36938028420375,-1.791049844410858,0.3887523321316189,6.8768735723881,-0.12070027334658137,0.07068814362070296,0.04139106916384991,0.4083931677237136,-22205.610846093638,7.0,1.0,0.9375136361212738,-22205.610846093638,22206.799149855036,0.12029937921761302,0.12913948708228418,3.0,0.0,0.28789327306564355,0.28789327306564355
519,1,-1.932740862978738,2.003161287604891,-0.08743627152814076,-1.796521666168588,-6.165965854987904,-1.7927125678433413,0.3869129110845219,7.406596082656904,-0.12365356103843318,0.07024079584147717,0.0458223677850636,0.4080537863727719,-22204.084659131506,7.0,1.0,0.9769765740116467,-22204.084659131506,22207.16576661545,0.006322857745544752,-0.11985099378216546,3.0,0.0,0.28789327306564355,0.28789327306564355
520,1,-1.907601533880826,2.029321775625228,-0.07333446971944446,-1.6099142059923175,-5.316656238423713,-1.9436388220484455,0.39427716583654915,7.553351195380214,-0.10371060166667742,0.0878699808692624,0.07006526464638141,0.3783939572954731,-22201.49089955417,15.0,1.0,0.9983415072068959,-22201.49089955417,22206.06117639676,-0.13176821312663378,-0.16024596709758043,4.0,0.0,0.28789327306564355,0.28789327306564355
521,1,-1.9734223579568915,1.8621559612368168,-0.09014799057968378,-1.6260978036251792,-5.9606524622287305,-1.8810428362883886,0.37528604074098537,6.663314083546951,-0.12748851089847082,0.0861799812510458,0.050776266364668955,0.39042420800964844,-22203.529265013414,15.0,1.0,0.9824534975912722,-22203.529265013414,22205.75443564432,0.02648664494336117,0.05265083101767232,4.0,0.0,0.28789327306564355,0.28789327306564355
522,1,-1.9859983791238505,2.0906105309532745,-0.07188441623027356,-1.5087984337805818,-5.582037787516132,-2.010522122797272,0.37176297775841854,7.908656335140482,-0.10165991635612551,0.09920586727364324,0.06135866409475132,0.3659490871521347,-22202.560641997836,15.0,1.0,0.9040523320920957,-22202.560641997836,22207.989639885396,0.19746470575410058,0.2662379631801741,4.0,0.0,0.28789327306564355,0.28789327306564355
523,1,-2.0124217643574074,2.2424973057200295,-0.06749512359401326,-1.521305044593127,-5.7415063012666145,-1.9622457394320016,0.3644680727530926,8.862890733477272,-0.09545251918070184,0.09772810905221635,0.056656239824181776,0.3748899098988343,-22200.21615234307,7.0,1.0,0.9208311877251639,-22200.21615234307,22204.676430687377,-0.262538607166789,-0.2743842908894294,3.0,0.0,0.28789327306564355,0.28789327306564355
524,1,-2.03082336344636,2.3214374580704678,-0.05801882050696847,-1.5580060499609993,-6.159611935535692,-1.9634203398225671,0.3594725277851747,9.403463638173173,-0.08205100283384507,0.09351744711327116,0.04596817509140461,0.3746698016226846,-22201.370748235775,7.0,1.0,0.9223334259238058,-22201.370748235775,22204.637143421754,0.01046586451411713,0.1640190372854704,3.0,0.0,0.28789327306564355,0.28789327306564355
525,1,-1.9971699308916728,2.2843792273043584,-0.055461882191099404,-1.595165982957726,-6.106427410680822,-1.9316274161312075,0.3686611136296645,9.145705460029859,-0.07843494598939162,0.08943893477827568,0.0472069710603043,0.3806733167310997,-22200.03208570712,7.0,1.0,0.9947795499439245,-22200.03208570712,22202.03401782714,0.008401110131671885,-0.028860845570306992,3.0,0.0,0.28789327306564355,0.28789327306564355
526,1,-1.9843257351604433,2.3437632523735017,-0.06532381328222797,-1.4859781054061438,-5.43735807607285,-1.842584342547009,0.3722296407330206,9.562244112142729,-0.09238182268965453,0.10196009920578747,0.0659618299704391,0.39800441878935916,-22201.091201576626,15.0,1.0,0.9078588268063972,-22201.091201576626,22202.893684286842,0.28898221583949635,0.28898221583949635,4.0,0.0,0.28789327306564355,0.28789327306564355
527,1,-2.0140961179534362,2.216271509404756,-0.05386883189146074,-1.3469913334882648,-5.019166477849136,-1.9612392807432424,0.36401067368492696,8.69026672431899,-0.07618203265010008,0.12046577392839491,0.08130211573838864,0.37507861297888856,-22203.755130369816,15.0,1.0,0.7082202505745596,-22203.755130369816,22205.8736898232,-0.2455311554876971,1.880961885668512,4.0,0.0,0.28789327306564355,0.28789327306564355
528,1,-1.9952067620700167,2.275045925444076,-0.057403133754120664,-1.391510595780392,-5.134695050743751,-1.937565642591946,0.36920432143779314,9.081909284054142,-0.08118029027779425,0.11419900267562795,0.07673882349207493,0.37954473082871193,-22201.45793234212,7.0,1.0,0.9135906593107718,-22201.45793234212,22204.143162537606,-0.24554641334179905,-0.30374194334217464,3.0,0.0,0.28789327306564355,0.28789327306564355
529,1,-1.9382254017549805,2.269754416905338,-0.06735550410716694,-1.6683494494563427,-5.720510712189056,-1.7995145901545322,0.3853246507543395,9.045937959337595,-0.0952550674088322,0.08191940840402161,0.057254138205503013,0.4066683481740523,-22200.028887023356,31.0,1.0,0.9928128388773125,-22200.028887023356,22204.109473602934,0.011090021856944077,-0.04238145992349018,4.0,0.0,0.28789327306564355,0.28789327306564355
530,1,-1.941682957822417,2.137832093987075,-0.06077252818640161,-1.5790480022753972,-5.719416886877644,-1.8805964883341297,0.38432673400785006,8.193769681086936,-0.08594533358091036,0.09118566258752885,0.05728545978258187,0.3905113502564968,-22199.646384669362,7.0,1.0,0.8612238191732523,-22199.646384669362,22203.60549526486,0.2098120279770228,0.2468670360140095,3.0,0.0,0.28789327306564355,0.28789327306564355
531,1,-1.9474034086988923,2.1301388292098826,-0.05997091490323775,-1.5698649786636039,-5.506548346124619,-1.8829953030421371,0.3826813744543254,8.14662818412115,-0.0848116812040816,0.09219605152949416,0.06371889261196761,0.390043248849429,-22199.750072882016,15.0,1.0,0.9978417474776478,-22199.750072882016,22200.302721980523,0.03290941073646536,-0.29727981152245775,3.0,0.0,0.28789327306564355,0.28789327306564355
532,1,-1.970668336419831,2.138408248685669,-0.06685634539793502,-1.6235089464635093,-6.037026407078141,-1.878000673812276,0.3760620012236328,8.197311105360635,-0.09454915039245976,0.08644812674359914,0.04887382980660605,0.39101852683635424,-22198.81434061207,23.0,1.0,0.9022722541608393,-22198.81434061207,22200.569077371325,-0.1796412923722528,0.35756434448921937,4.0,0.0,0.28789327306564355,0.28789327306564355
