iteration,chain,θ[1],θ[2],θ[3],θ[4],θ[5],θ[6],φ[1],φ[2],φ[3],φ[4],μ,δ,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size,treeset
501,1,-0.33820539939857586,-0.428112344247295,0.49300739221966267,-2.5975289325011786,0.3353711601871541,2.707611028051981,2.3863274305513844,1.2793420859653486,-0.6054422834538639,0.02686221251938818,1.1825647302957432,3.872132984619987,-44586.27882987028,15.0,1.0,0.5722267339361417,-44586.27882987028,44588.302835229144,0.2535023831151193,1.0712684935206198,4.0,0.0,0.13599387259912576,0.13599387259912576,1
502,1,-0.3216140444909293,-0.39431616940452424,0.4984972920876525,-2.5009742358651015,0.3031058111891175,2.760337025650687,2.396173210255344,1.2953610593911833,-0.5576472746348851,0.030162100801739,1.163639863240006,3.975571505838421,-44584.75891130804,31.0,1.0,0.9990551157732535,-44584.75891130804,44587.93179970829,-0.029617782536661252,-0.25927103912545135,5.0,0.0,0.13599387259912576,0.13599387259912576,1
503,1,-0.3565660507028011,-0.37037665552069426,0.48555826715850486,-2.513240474675408,0.24116688429458108,2.7141171307453944,2.3730325647013344,1.26184566412959,-0.5237916894237538,0.029721381700713548,1.1281548727034871,3.8847497423944306,-44584.904527945706,31.0,1.0,0.8947637243868007,-44584.904527945706,44588.56487489196,-0.14240217272890732,0.4663264703776804,5.0,0.0,0.13599387259912576,0.13599387259912576,1
504,1,-0.40304013336496686,-0.38568830460661757,0.5333586703121278,-3.169700121632955,0.2969190273045898,2.7365287799251194,2.4596498507849414,1.21862101023922,-0.5454456312233641,0.013519257264155333,1.1600458308048132,3.928526385186377,-44585.6211280951,63.0,1.0,0.6421332859414774,-44585.6211280951,44589.08584063466,0.28679959849250736,1.809735339760664,5.0,0.0,0.13599387259912576,0.13599387259912576,1
505,1,-0.27571373747692574,-0.39040545889080114,0.4623590888409836,-1.962475352950465,0.275287451769467,2.7269399443222353,2.332100390429086,1.3407306102290033,-0.5521166947878628,0.05755752344347329,1.1475666291489885,3.9097364677020074,-44585.13977817121,31.0,1.0,0.9385855702707109,-44585.13977817121,44587.17489038795,-0.25168647044483805,-0.5681386547075817,5.0,0.0,0.13599387259912576,0.13599387259912576,1
506,1,-0.3062541763589797,-0.4043086597817202,0.4863456529699561,-2.2193419753453854,0.3214588649264563,2.7007092747926884,2.374434347693279,1.3103697741565148,-0.5717787900481983,0.042289757132749184,1.1743671801889581,3.858793760642185,-44586.003756546466,31.0,1.0,0.9973806778510742,-44586.003756546466,44587.852252264885,-0.07412383021437563,-0.25819203182618367,4.0,0.0,0.13599387259912576,0.13599387259912576,1
507,1,-0.36736727221384097,-0.3799198338319346,0.5383664604633495,-2.769312318082569,0.3240883731487762,2.7574480737561413,2.4689052785936614,1.251664850864675,-0.5372877816196546,0.021858295304199322,1.1759121997049458,3.9698330339616557,-44586.214365667714,31.0,1.0,0.5932918835397671,-44586.214365667714,44589.09466695582,0.864269342571788,1.5137374184996588,5.0,0.0,0.13599387259912576,0.13599387259912576,1
508,1,-0.31722966962274474,-0.3910249979977145,0.4915755172967374,-2.291659575765204,0.3210503928201373,2.70984346120362,2.383766114299963,1.2996275816646665,-0.5529928553952802,0.03877453776603016,1.1741273565622654,3.876457536760577,-44585.13412080233,31.0,1.0,0.618377674705371,-44585.13412080233,44588.50658954951,-0.6135100599130965,1.7884547809444484,5.0,0.0,0.13599387259912576,0.13599387259912576,1
509,1,-0.3398062351698088,-0.38628872985418683,0.49997203699455683,-2.4185889491991603,0.3042286834583164,2.735439734140489,2.3988249846724723,1.2778069952541553,-0.5462947607516677,0.0332963752577526,1.1642933561369868,3.926387794945092,-44583.755874393195,15.0,1.0,0.9897314223254327,-44583.755874393195,44587.579672800515,-0.02031323388655437,-0.1303176344881649,4.0,0.0,0.13599387259912576,0.13599387259912576,1
510,1,-0.41475246305974955,-0.3747306474323779,0.5047844385420226,-2.6615984610876073,0.24272771450510522,2.7327518275865907,2.4074987101012644,1.2079632208165254,-0.5299491638357194,0.024874349343989518,1.1290356454466939,3.921114457554766,-44586.13494340679,23.0,1.0,0.9598461468278215,-44586.13494340679,44587.930372089024,-0.09746405041369144,0.5189066572929733,4.0,0.0,0.13599387259912576,0.13599387259912576,1
511,1,-0.24919656719625288,-0.3526106789840565,0.4958028140806124,-3.7323826530666917,0.22594994919122974,2.7751490375289873,2.3913357727778983,1.3676618111999534,-0.4986668044568384,0.006881909075113018,1.1196039140572949,4.005123909584668,-44592.832790891414,31.0,1.0,0.9145547159013538,-44592.832790891414,44594.13872075025,0.0487115165888099,0.19793546681466978,5.0,0.0,0.13599387259912576,0.13599387259912576,1
512,1,-0.3524986571470596,-0.38335429826330747,0.4728537446771192,-3.505132277936158,0.16097234086117826,2.7488226452160203,2.3505287633051104,1.2657008585542688,-0.5421448477979901,0.009039433852062961,1.083813857859631,3.9527491438340183,-44589.520575609546,29.0,1.0,0.8794866693800812,-44589.520575609546,44593.61726359949,-0.018325596414797474,907.645589282627,4.0,0.0,0.13599387259912576,0.13599387259912576,1
513,1,-0.3116013808438772,-0.3785835546710752,0.47585987315907136,-3.366702733350335,0.1882329453174302,2.751959240289581,2.355834235504133,1.3051251862921915,-0.5353979975072507,0.010672944618265883,1.0986877055432924,3.9589530941282054,-44586.943857345206,7.0,1.0,0.9970323961527855,-44586.943857345206,44590.571216061704,-0.04595243270159699,-0.04918885427468922,3.0,0.0,0.13599387259912576,0.13599387259912576,1
514,1,-0.41235367607426937,-0.3958808355713241,0.5352094330645156,-1.6088300604586578,0.4615121762704362,2.7185376712958425,2.4630663926853704,1.2101384117519824,-0.5598600467485597,0.08798437187979267,1.2595519823061294,3.8933455853453762,-44587.08774285042,31.0,1.0,0.6417577159788208,-44587.08774285042,44589.740056711,-1.0781342333357316,3.6278267980596866,5.0,0.0,0.13599387259912576,0.13599387259912576,1
515,1,-0.41235367607426937,-0.3958808355713241,0.5352094330645156,-1.6088300604586578,0.4615121762704362,2.7185376712958425,2.4630663926853704,1.2101384117519824,-0.5598600467485597,0.08798437187979267,1.2595519823061294,3.8933455853453762,-44587.08774285042,31.0,1.0,0.005676535095960041,-44587.08774285042,44591.45666567604,0.0,8.9259254039207,4.0,0.0,0.13599387259912576,0.13599387259912576,1
516,1,-0.37615871329807665,-0.41701784158310995,0.5295108145682558,-2.373619301987558,0.38201125472258707,2.7248889360387425,2.452561800023388,1.2434390460753966,-0.589752287318389,0.035142531360242105,1.2104662637931336,3.9057290719129325,-44584.554815124946,15.0,1.0,0.6912688965867295,-44584.554815124946,44588.166200753214,0.4592586469007074,0.7346265139276511,4.0,0.0,0.13599387259912576,0.13599387259912576,1
517,1,-0.3457651143490521,-0.387005022104469,0.5239281406269525,-2.7073222209087553,0.31195324592784196,2.7447673087665008,2.44231437836141,1.2721090142065519,-0.5473077509666395,0.02354629807624875,1.1687988797169204,3.944742400247666,-44585.77631278121,31.0,1.0,0.7717804653228816,-44585.77631278121,44586.42382552609,0.6382978363399161,0.7260107797119417,5.0,0.0,0.13599387259912576,0.13599387259912576,1
518,1,-0.3580446091313528,-0.38846743567958375,0.5202475643957586,-3.3425008481659786,0.27191572082431925,2.7505686994623786,2.4355818318180367,1.260447155282621,-0.5493759160783653,0.01098745602999918,1.1456336160492746,3.9562015078321378,-44586.91451488084,15.0,1.0,0.9437832382912852,-44586.91451488084,44589.00656692397,-0.004157159739406779,-0.689126755190955,4.0,0.0,0.13599387259912576,0.13599387259912576,1
519,1,-0.3887214703780679,-0.37878346616940517,0.5139154708826046,-2.3802162674396317,0.30486058534374294,2.7463869009157897,2.4240425051033037,1.2317782995035933,-0.5356807150594632,0.0348654287508459,1.164661273839365,3.9479381309293125,-44584.55568202063,31.0,1.0,0.7473719848564887,-44584.55568202063,44588.21385786066,-0.6968118814111222,1.5846076742600417,5.0,0.0,0.13599387259912576,0.13599387259912576,1
520,1,-0.3787987738990795,-0.39837333352059423,0.49714856404419583,-2.4821297731460685,0.2842268078359481,2.739635091145746,2.3937505962504715,1.2409794161420553,-0.5633849711526048,0.03085193746722754,1.1527073626563211,3.934632738812964,-44585.01810314625,15.0,1.0,0.5248389384786527,-44585.01810314625,44589.55231427179,0.10386979899340076,2.2807340043291333,3.0,0.0,0.13599387259912576,0.13599387259912576,1
521,1,-0.39194263868551926,-0.40235469921225425,0.5622436066384678,-2.2025115704520344,0.4466034727416836,2.7335513258780786,2.513516339885189,1.228806067306635,-0.5690154725105173,0.04315254492872295,1.2501977469606849,3.9226822330471167,-44587.171204453465,31.0,1.0,0.4465586187248422,-44587.171204453465,44591.08911133525,-0.2599762005484081,3.4635318383298,5.0,0.0,0.13599387259912576,0.13599387259912576,1
522,1,-0.4146605389937492,-0.42036872512612317,0.5320504168817546,-2.267956536649382,0.3844290109528373,2.7541207371964647,2.4572376503759092,1.2080465043555302,-0.594491152270851,0.039893261902182675,1.211930454804453,3.9632340394577708,-44585.80832871326,31.0,1.0,0.9998983453213504,-44585.80832871326,44587.439622169484,-0.45997379563050345,-0.5399058192633674,5.0,0.0,0.13599387259912576,0.13599387259912576,1
523,1,-0.39716104493455184,-0.4195268545897432,0.5392595566604349,-2.307655669123802,0.3975193962788492,2.7540922798047265,2.4705595600054315,1.2240061594392546,-0.5933005675405402,0.03803734635963911,1.2198887891300987,3.9631776482071532,-44584.81699923689,15.0,1.0,0.9685053379800664,-44584.81699923689,44586.538634017634,-0.06131774420646252,0.09487447462743148,3.0,0.0,0.13599387259912576,0.13599387259912576,1
524,1,-0.3932202650598578,-0.4044468384877105,0.5320607753891227,-2.906352969692681,0.3509535334803389,2.7170443653747656,2.4572567404357937,1.2276291649818263,-0.571974204248241,0.018543729792773987,1.191814298598329,3.890439692319495,-44584.58848074291,31.0,1.0,0.5147270189090235,-44584.58848074291,44587.72786899645,0.17274631996406242,1.788171914035047,5.0,0.0,0.13599387259912576,0.13599387259912576,1
525,1,-0.39192058546286407,-0.4005785568289171,0.5189223238510753,-2.267946757715328,0.346223094891836,2.730589050375134,2.43316223562728,1.2288263918250693,-0.5665036278632961,0.039893730041222236,1.188998727458299,3.916876500910612,-44583.734162847526,31.0,1.0,0.9996005098747344,-44583.734162847526,44585.606081689126,-0.009927767627232242,-0.012001959628832992,4.0,0.0,0.13599387259912576,0.13599387259912576,1
526,1,-0.3362059501169832,-0.38339980853826383,0.5010549485211558,-2.4987655752783047,0.305883374038627,2.7240382683242803,2.400774062489541,1.2812620098630039,-0.5422092090460607,0.030242148245367938,1.1652570273509966,3.9040681863419486,-44584.330428302004,31.0,1.0,0.8957207507654471,-44584.330428302004,44586.60864916064,0.19655841253552353,0.21600379190203967,4.0,0.0,0.13599387259912576,0.13599387259912576,1
527,1,-0.4117429322235573,-0.38628636681560097,0.5278067286515421,-2.351389284355153,0.3425656271584713,2.71663853944657,2.4494292702197935,1.2106928521703078,-0.5462914189104512,0.03609261009074292,1.1868263521714997,3.889650351756308,-44584.316177862915,15.0,1.0,0.8049678221554899,-44584.316177862915,44586.0392912682,-0.22889951960678445,0.5971544846179313,4.0,0.0,0.13599387259912576,0.13599387259912576,1
528,1,-0.2530056970997745,-0.4059606391713918,0.49161592183652586,-1.8595096601833843,0.37967716477903163,2.7515950661167796,2.3838383516240844,1.3637601859004618,-0.5741150417058327,0.0651272915734077,1.20905441922976,3.95823228552106,-44586.897963343596,31.0,1.0,0.8079144423622872,-44586.897963343596,44588.59804145636,-0.07023783588374499,0.8812515060781152,5.0,0.0,0.13599387259912576,0.13599387259912576,1
529,1,-0.26781571457756304,-0.39569237885887215,0.4993977906983921,-2.0717429880211986,0.38351375691410516,2.747672489089763,2.397792069846809,1.3486960193530968,-0.55959352870989,0.05048436545299526,1.2113759695661321,3.950476658003353,-44587.6979701432,15.0,1.0,0.6109559079183219,-44587.6979701432,44591.672626257634,0.7734588642633753,2.4760913607824477,3.0,0.0,0.13599387259912576,0.13599387259912576,1
530,1,-0.4264281621961274,-0.414651188724731,0.5424542101630188,-2.561531773634499,0.37675897206817155,2.75431538587733,2.4764860934417787,1.1974315385468965,-0.5864053347486404,0.028047995019849722,1.2072915787229765,3.963619777367181,-44585.23254386962,47.0,1.0,0.9956670315854543,-44585.23254386962,44588.96506148806,-0.6206870151581825,-0.7913259103006567,5.0,0.0,0.13599387259912576,0.13599387259912576,1
531,1,-0.4165290920810099,-0.38478076746372636,0.5562436772741299,-2.687372356830933,0.38518719893577497,2.748758387809634,2.502231060137582,1.2063547158122279,-0.54416217988753,0.024116794156762694,1.2123899774535818,3.9526221491700775,-44585.71659787848,31.0,1.0,0.901017431338148,-44585.71659787848,44587.747422476066,0.15959266907157144,0.2659729713705019,4.0,0.0,0.13599387259912576,0.13599387259912576,1
532,1,-0.42305119158857213,-0.3931867432276179,0.5382460364659077,-2.605157345249147,0.3486340229701697,2.7450539448274216,2.4686823020809943,1.2004681507125834,-0.556050024817805,0.02661743533223776,1.190432886907016,3.945307793473697,-44584.55716503526,31.0,1.0,0.9996895233420436,-44584.55716503526,44586.068195087544,-0.10445835941209225,-0.15533470499212854,5.0,0.0,0.13599387259912576,0.13599387259912576,1
533,1,-0.3535949965025998,-0.39399546494198967,0.5317738225191923,-2.41233468378816,0.3706682352099276,2.7425779563759045,2.4567279596831497,1.2646605580610903,-0.5571937300344552,0.033547208589007116,1.2036205237590285,3.9404265473072493,-44584.362287171476,31.0,1.0,0.9985922457364561,-44584.362287171476,44585.89259811346,-0.08177519961463986,-0.15158183614403242,4.0,0.0,0.13599387259912576,0.13599387259912576,1
